Book_No	Title	Sub_Title	Author	Publisher	Year_This_Ed	ISBN	Subject	Topic	Class_1	Class_2	Class_3	new c1	new c2	newc3	Translator	Year_1st_Pub	Synopsis	Medium
13177	Blake		"Ackroyd, Peter"	Sinclair-Stevenson	1995	1 85619 278 4	Biography	William Blake	BLA	ACK		921	BLA	ACK				
12428	Dickens		"Ackroyd, Peter"	Sinclair - Stevenson Ltd	1990	1 85619 000 5	Biography	Charles Dickens	DIC	Ack		921	DIC	ACK				
12532	Dickens		"Ackroyd, Peter"	Sinclair-Stevenson	1990	1 85619 000 5	Biography	Charles Dickens	DIC	ACK		921	DIC	ACK				
12395	T S Eliot		"Ackroyd, Peter"	Cardinal	1989	0 7474 0182 9	Biography	T. S. Eliot	ELI	Ack		921	ELI	ACK				
12396	T S Eliot		"Ackroyd, Peter"	Abacus	1986	0 349 10061 6	Biography	T. S. Eliot	ELI	Ack		921	ELI	ACK				
13314	"Life of Thomas More, The"		"Ackroyd, Peter"	Chatto & Windus	1998	1856197115	Biography	Thomas More	MORE	ACK		921	MOR	ACK				
11919	Lectures on Modern History		"Acton, Lord"	Collins - London	1960		History	History - Essays & Lectures	904	ACT		902	ACT					
12711	"Religious Teachers of Greece, The"	Being Gifford Lectures on Natural Religion Delivered at Aberdeen	"Adam, James"	T & T Clark	1909		Geography & History	History of the Ancient World - Greece	938	ADA		210	ADA					
12675	Primitive Art		"Adam, Leonhard"	Pelican	1954		The Arts	Historical - Areas - Persons	709	ADA		709	ADA					
15793	D. H. Lawrence & the Way of the Dandelion	with recollections by Frieda Lawrence and woodcuts by Barbara Whitehead	"Adam, Michael"	The Ark Press	1974				824	LAW		820.9	ADA					
13457	"Life of Saint Columba, The"		Adamnan (Saint)	George Routledge & Sons					920	COL		921	COL	ADA				
15634	Critical Theory Since Plato		"Adams, Hazard"	Harcourt - Brace - Jovanovich	1971	0-15-516142-3			809	ADA		809	ADA					
14248	Mont Saint Michel and Chartres		"Adams, Henry"	Constable and Co	1936				726	ADA		944	ADA					
16370	"Education of Henry Adams, The"		"Adams, Henry"	The Modern Library	1946				920	ADA		921	ADA	ADA				
12249	Mont Saint Michel and Chartres		"Adams, Henry"	New American Library - New York	1961		History	Europe	940	ADA		944	ADA					
12981	"Art of Bonsai, The"		"Adams, Peter D"	Ward Lock Ltd	1981	0 7063 5860 0	Natural Sciences	Botanical Sciences	580	ADA		580	ADA					
16103	"Princely Courts of Europe 1500-1750, The"	"Ritual, Politics and Culture Under the Ancien Regime"	"Adamson, John (Ed)"	Weidenfeld & Nicolson	1999	0-297-83653-6			940	ADA		940.2	ADA					
11346	20th Century Women's Poetry (Faber Book of)		"Adcock, Fleur (Ed)"	Faber and Faber - London	1987		Literature	English Literature - English Poetry	821	ADC		808.81	ADC					
14440	Quest For the Red Sulphur	The Life of ibn 'Arabi	"Addas, Claude"	The Islamic Texts Society	1993	0 946621 45 4			920	ARA		921	ARA	ADD				
15600	Nuclear Power In Perspective		"Addinall, Eric & Ellington, Henry"	Nichols Publisshing Co	1982	0-89398-110-3			380	ADD		380	ADD					
16369	Addison's Essays		"Addison, Joseph"	George Newnes Ltd					824	ADD		824	ADD					
12225	Generations	A Collage on Youthcult	"Adelman, Clifford"	Penguin Books	1973	0 1402 1710 X	Social Sciences	Social Sciences - Sociology	301	ADE		305.2	ADE					
14887	Shilappadikaram (The Ankle Bracelet)		"Adigal, Ilango (Prince)"	A New Directions Book	1965				891	ADI		894	ADI					
10449	Studies in Analytical Psychology		"Adler, Gerhard"	Routledge & Kegan Paul Ltd. - London	1948		Philosophy	General Psychology	150	ADL		150	ADL					
10442	Understanding Human Nature		"Adler, Alfred"	Fawcett Publications Inc. - Conn. - USA	1965		Philosophy	Branches of Psychology - Psychology of Personality	137	ADL		155.2	ADL					
10444	Understanding Human Nature		"Adler, Alfred"	George Allen & Unwin Ltd. - London	1937		Philosophy	Branches of Psychology - Psychology of Personality	137	ADL		155.2	ADL					
12163	Thinking Machines		"Adler, Irving"	New American Library - New York	1962		Technology	Engineering	620	ADL		620	ADL					
14262	Spiritual Friendship		Aelred of Rivaulx	Cistercian Publications	1974				267	AEL		267	AEL		******			
13168	Piers Plowman and Christian Allegory		"Aers, David"	Edward Arnold (Publishers) Ltd	1975	0 7131 5770 4	Literature	Literary History & Criticism	809	AER		809.1	AER					
11741	Lyrical Dramas		Aeschylus	J. M. Dent & Sons Ltd. - London	1950		Literature	Greek Literature - Dramatic Poetry	882	AES		882	AES					
M11743	"Oresteia, The Agamemnon, The Libation Bearers, The Eumenides"		Aeschylus	Penguin Books	1977	0- 14044-333-9	Literature	Greek Literature - Dramatic Poetry	882	AES		882	AES					
11744	Plays		Aeschylus	J. M. Dent & Sons Ltd. - London	1960		Literature	Greek Literature - Dramatic Poetry	882	AES		882	AES					
11757	Prometheus and Other Plays		Aeschylus	Penguin Books	1961		Literature	Greek Literature - Dramatic Poetry	882	AES		882	AES					
11740	"Prometheus Bound, The Suppliants, Seven Against Thebes, The Persians"		Aeschylus	Penguin Books	1971	140441123	Literature	Greek Literature - Dramatic Poetry	882	AES		882	AES					
	"Orestein Trilogy, The"	translated by Philip Vellacott	Aeschylus	Penguin	1986	0-14-044067-4						882	EUR					
11785	"Zoroaster's Influence on Anaxagoras, the Greek Tragedians and Socrates"		"Afnan, Ruhi"	Philosophical Library - New York	1969		Philosophy	Ancient & Medieval - Sophistic & Socratic Philosophy	183	AFN		182	AFN					
13274	State of India's Environment 1984-1985	The Second Citizen's Report	"Agarwal, A & Narain, S"	Centre for Science and Environment	1985		Geography	India	915.4	AGA		915.4	AGA					
10217	"Age of Ideology, The"	The 19th Century Philosophers	"Aiken, Henry D"	Mentor Books - New York	1963		Philosophy	Modern Philosophy	190	AIK		190	AIK					
16149	From Van Eyck to Bruegel	Early Netherlandish Painting in The Metropolitan Museum of Art	"Ainsworth, Maryan W & Christiansen, K"	The Metropolitan Museum of Art	1998	0-87099-870-6			708	MET		708	AIN					
16354	Windsor Castle	A Novel	"Ainsworth, William Harrison"	The Library Press					823	AIN		823	AIN					
10637	Concept of Sarasvati	In Vedic Literature	"Airi, Raghunath"	Munshiram Manoharlal -  New Delhi	1977		Religion	Other Religions - Brahmanism & Related	294	AIR		294.5	AIR					
12548	Issues in Cognitive Modelling		"Aitkinhead, A M & Slack, J M"	Lawrence Erlbaum Associates	1990	0 86377 030 4	Philosophy	Mental Processes and Intelligence	153	AIT		153.4	AIT					
14827	Angels and other Mysteries of The Tree of Life		"Aivanhov, Omraam Mikhael"	Prosveta	1994	1-895978-07-6			298	AIV		299.9	AIV					
14391	Creation:  Artistic and Spiritual		"Aivanhov, Omraam Mikhael"	Editions Prosveta	1988	2-85566-402-0			298	AIV		299.9	AIV					
14337	Life and Work in an Initiatic School	Training for the Divine Part 1	"Aivanhov, Omraam Mikhael"	Prosveta	1996	1-895978-09-2			298	AIV		299.9	AIV					
15939	Life Force	complete works volume 5	"Aivanhov, Omraam Mikhael"	Editions Prosveta	1987	2-85566-419-5			298	AIV		299.9	AIV					
15523	Light is a Living Spirit		"Aivanhov, Omraam Mikhael"	Editions Prosveta	1988	2-85566-391-1			298	AIV		299.9	AIV					
14828	Man's Subtle Bodies and Centres	the aura - the solar plexus - the chakras	"Aivanhov, Omraam Mikhael"	Prosveta	1988	2-85566-310-5			298	AIV		299.9	AIV					
14826	"Splendour of Tiphareth, The"	The Yoga of the Sun - Complete Works Volume 10	"Aivanhov, Omraam Mikhael"	Prosveta	1994	1-895978-05-X			298	AIV		299.9	AIV					
15524	"Yoga of Nutrition, The"		"Aivanhov, Omraam Mikhael"	Editions Prosveta	1990	2-85566-375-X			298	AIV		299.9	AIV					
14830	"Zodiac, Key to Man and to the Universe, The"		"Aivanhov, Omraam Mikhael"	Editions Prosveta	1989	2-85566-369-5			298	AIV		299.9	AIV					
14835	Toward a Solar Civilization		"Aivanhov, Omraam Mikhael"	Editions Prosveta	1986	2-85566-373-3			298	AIV		299.9	AIV					
10644	Fundamentals of Hindu Faith and Culture		"Aiyar, C P Ramaswami"	Ganesh & Co. - Madras	1959		Religion	Other Religions - Brahmanism & Related	294	AIY		294.5	AIY					
