Book_No	Title	Sub_Title	Author	Publisher	Year_This_Ed	ISBN	Subject	Topic	Class_1	Class_2	Class_3	new c1	new c2	newc3	Translator	Year_1st_Pub	Synopsis	Medium
14444	Characters of the Reformation		"Belloc, Hillaire"	Sheed & Ward	1936				940	BEL		940.2	BEL					
15142	Europe and the Faith		"Belloc, Hillaire"	Universe Books	1962				940	BEL		940.2	BEL					
15694	Giotto		"Bellosi, Luciano"	Becocci Editore	1981				750	GIO		759.5	BEL					
12253	Patterns of Culture		"Benedict, Ruth"	New American Library - New York	1953		Social Sciences	Social Sciences - Sociology	301	BEN		301	BEN					
10945	Basic Self-Knowledge	Based on the Gurdjieff System of Development	"Benjamin, Harry"	Samuel Weiser - New York	1980	0-87728-162-9	Philosophy	Branches of Psychology	130	BEN		131	BEN					
10545	Better Sight Without Glasses		"Benjamin, Harry"	Thorsons Publishers Ltd. - Northants	1977	0 7225 0279 6	Technology	Medical Sciences - Human Physiology	612	BEN		612	BEN					
15272	Needs of a New Age Community		"Bennett, John G"	Coombe Springs Press	1977	0-900306-47-5			301	BEN		133	BEN					
11846	"Grand Babylon Hotel, The"		"Bennett, Arnold"	Daily express - London			Literature	English Literature - English Fiction	823	BEN		823	BEN					
12071	Imperial Palace		"Bennett, Arnold"	Cassell & Company Ltd. - London	1931		Literature	English Literature - English Fiction	823	BEN		823	BEN					
12087	Mr Prohack		"Bennett, Arnold"	Methuen & Co. Ltd. - London	1922		Literature	English Literature - English Fiction	823	BEN		823	BEN					
12077	"Old Wives' Tale, The"		"Bennett, Arnold"	Hodder & stoughton Ltd. - London	1948		Literature	English Literature - English Fiction	823	BEN		823	BEN					
12749	Fantastica	Thirteen Drawings by Leo Bensenmann	"Bensenmann, Leo"	Caxton Press			The Arts	Drawing & Decorative Arts - Drawing	741	BEN		741	BEN					
12306	Rossetti		"Benson, Arthur C"	Macmillan &Co. Ltd	1904		Biography	Dante Gabriel Rossetti	ROS	Ben		921	ROS	BEN				
12073	"Freaks of Mayfair, The"		"Benson, E F"	T. N. Foulis - London	1916		Literature	English Literature - English Satire & Humour	827	BEN		827	BEN					
12523	As We Are	A Modern Review	"Benson, E F"	Hogarth Press	1985	0 70120587 3	Autobiography	E. F. Benson	BEN	BEN		921	BEN	BEN				
12522	As We Were	A Victorian Peep-Show	"Benson, E F"	Hogarth Press	1985	070120588 1	Autobiography	E. F. Benson	BEN	BEN		921	BEN 	BEN				
12529	Final Edition		"Benson, E F"	The Hogarth Press	1988	0 7012 0589 X	Autobiography	E. F. Benson	BEN	BEN		921	BEN	BEN				
14082	100 Poems On The Underground		"Benson, Gerard et al"	Cassell	1991	0-304-34083-9			821	BEN		821.08	BEN					
12929	"Birds, The Observer Book of"		"Benson, S Vere"	Frederick Warne & Co. Ltd	1959		Natural Sciences	Zoological Sciences - Aves	598	BEN		598	BEN					
10078	"Cult of the Superman, The"	A Study of the Idea of Heroism in Carlyle and Nietzche - with Notes on Other Hero-worshippers of Modern Times	"Bentley, Eric"	Robert Hale Ltd. - London	1947		Philosophy	Philosophical Topics - Other Philosophical Topics	149	BEN		153.9	BEN					
12814	Snow Crystals		"Bentley, W A & Humphreys, W J"	Dover Publications - Inc	1962	486 20287 9	The Arts	Photography & Photographs - Photographs	779	BEN		551	BEN					
13032	"Destiny of Man, The"		"Berdyaev, Nicholas"	Geoffrey Bles: The Centenary Press	1937		Philosophy		197	BER		197	BER					
13029	"Divine and the Human, The"		"Berdyaev, Nicholas"	Geoffrey Bles	1949		Philosophy		197	BER		197	BER					
13030	Freedom and the Spirit		"Berdyaev, Nicholas"	Geoffrey Bles: The Centenary Press	1935		Philosophy		197	BER		197	BER					
13363	Freedom and the Spirit		"Berdyaev, Nicholas"	Geoffrey Bles	1935		Philosophy		197	BER		197	BER					
13031	Slavery and Freedom		"Berdyaev, Nicholas"	Geoffrey Bles: The Centenary Press	1939				197	BER		197	BER					
13033	Solitude and Society		"Berdyaev, Nicholas"	Geoffrey Bles: The Centenary Press	1938		Philosophy		197	BER		197	BER					
13034	Spirit and Reality		"Berdyaev, Nicholas"	Geoffrey Bles: The Centenary Press	1946		Philosophy		197	BER		197	BER					
10105	Freedom and the Spirit		"Berdyaev, Nicholas"	Geoffrey Bles - London	1948		Philosophy		197	BER		197	BER					
16404	Towards a New Epoch	translated from the French	"Berdyaev, Nicholas"	Geoffrey Bels	1949				197	BER		197	BER					
13035	Dream and Reality	An Essay in Autobiography	"Berdyaev, Nicholas"	Geoffrey Bles: The Centenary Press	1950		Biography		920	BER		921	BER	BER				
12640	Medieval England	An Aerial Survey - Second edition	"Beresford, M W &  St Joseph J K S"	Cambridge University Press	1979	0 521 21961 2	Geography & History	Geography & Travel - Historical Geography	911	BER		936	BER					
10150	Deep Analysis	The Clinical Study of an Individual Case	"Berg, Charles"	George Allen & Unwin Ltd. - London	1946		Philosophy	Branches of Psychology - Psychology of Personality	137	BER		150.9	BER					
12296	"Social Construction of Reality, The"	A Treatise in the Sociology of Knowledge	"Berger, Peter & Luckmann, Thomas"	Doubleday - USA			Social Sciences	Social Sciences - Sociology	301	BER		301	BER					
11376	Spenser: A Collection of Critical Essays		"Berger, Harry (Ed)"	Prentice-Hall Inc. - N. J.	1968		Literature	English Literature - English Essays	824	BER		821.09	BER					
14967	Spenser: A Collection of Critical Essays		"Berger, Harry (Ed)"	Spectrum	1968				824	SPE		821.09	BER					
11957	Germany and the Approach of War In 1914		"Berghahn, V R"	The Macmillan Press Ltd. - London	1977	0 333 10697 0	History	Europe - Germany & Central Europe	943	BER		940.3	BER					
16003	Heroes Twilight	A Study of the Literature of the Great War	"Bergonzi, Bernard"	Carcanet	1996	1-85754-135-9			824	BER		820.9	BER					
10101	"Two Sources of Morality and Religion, The"		"Bergson, Henri"	MacMillan and Co. Ltd. - London	1935		Philosophy	Ethics - Other Ethical Topics	179	BER		170	BER					
10084	Creative Evolution		"Bergson, Henri"	Macmillan and Co. Ltd. - London	1911		Philosophy	Modern Philosophy - French	194	BER		194	BER					
15275	"Creative Mind, The"	An Introduction to Metaphysics	"Bergson, Henri"	Carol Publishing	1992	0-8065-0421-8			194	BER		110	BER					
10103	"Creative Mind, The"	An Introduction to Metaphysics	"Bergson, Henri"	The Philosophical Library Inc. - New York	1946		Philosophy	Philosophy - Essays & Lectures	104	BER		110	BER					
10090	Time and Free Will	An Essay on the Immediate Data of Consciousness	"Bergson, Henri"	Swan Sonnenschein & Co. - London	1910		Philosophy	Metaphysical Theories - Freedom & Necessity	123	BER		110	BER					
10102	Matter and Memory		"Bergson, Henri"	Swan Sonnenschein & Co. - London	1911		Philosophy	Philosophical Topics - Idealism & Related Topics	141	BER		141	BER					
11473	Counter Culture: The Creation of an Alternative Society		"Berke, Joseph"	Peter Owen Ltd. - London	1969	7206 1403 1	Social Sciences	Social Sciences - Sociology	301	BER		301	BER					
13468	"New Theory of Vision, A"	and other writings	"Berkeley, George"	J. M. Dent & Sons	1963				192	BER		192	BER					
14281	"Treatise Concerning the Principles of Human Knowledge, A"		"Berkeley, George"	Oxford University Press	1998	0-19-875161-3			192	BER		192	BER					
14293	Philosophical Works (Including The Works On Vision)		"Berkeley, George"	J. M. Dent	1980	0 460 87343 1			192	BER		192	BER					
14277	Three Dialogues Between Hylas and Philonous	edited by Jonathan Dancy	"Berkeley, George"	Oxford University	1998	0-19-875149-4			192	BER		192	BER					
10053	Three Dialogues Between Hylas and Philonous		"Berkeley, George"	The Bobbs-Merrill Company Inc. - Indianapolis	1954		Philosophy	Modern Philosophy - Other Modern Philosophies	199	BER		192	BER					
10216	"Age of Enlightenment, The"	The 18th Century Philosophers	"Berlin, Isaiah"	Mentor Books - New York	1956		Philosophy	Modern Philosophy	190	BER		190	BER					
15584	Concepts and Categories	Philosophical Essays	"Berlin, Isaiah"	Oxford University Press	1980	0-19-283027-9			192	BER		192	BER					
14995	Four Essays on Liberty		"Berlin, Isaiah"	Oxford University Press	1989	0-19-2810340			193	BER		323.4	BER					
14194	Vico and Herder	Two Studies in the History of Ideas	"Berlin, Isaiah"	Chatto & Windus	1980	0-7011-2512-8			193	BER		109	BER					
15545	"Magus of the North, The"	J. G. Hamann and the Origins of Modern Irrationalism	"Berlin, Isaiah"	John Murry	1993	0-7195-5312-1			193	HAM		193	BER					
15521	Russian Thinkers		"Berlin, Isaiah"	Penguin / Pelican	1979	0-14-022260-X			197	BER		197	BER					
14953	Against the Current	Essays in the History of Ideas	"Berlin, Isaiah"	Oxford University Press	1955	0-19-283028-7			109	BER		109	BER					
14991	"Crooked Timber of Humanity, The"	Chapters in the History of Ideas	"Berlin, Isaiah"	John Murry	1990	0-7195-4789-X			109	BER		192	BER					
14296	George Berkeley	Idealism and the Man	"Berman, David"	Oxford University Press	1996	0-19-826766-5			192	BER		192	BER					
14298	George Berkeley: Alciphron In Focus		"Berman, David"	Routledge	1993	0 415 06373 6			192	BER		192	BER					
10672	On the Love of God		Bernard (Saint)	Mowbrays - London		0 264 66526 0	Religion	Religion - Philosophy & Theories	201	BER		230	BER					
10669	Saint Bernard On Consideration	LEWIS - GEORGE (TRANS)	Bernard (Saint)	Oxford University Press	1908		Religion	Religion - Philosophy & Theories	201	LEW		230	BER					
10671	"Love of God and Spiritual Friendship, The"		Bernard (Saint)	Pickering & Inglis - Basingstoke	1983	0 7208 0556 2	Religion	Religion - Philosophy & Theories	201	BER		230	BER					
10522	Hatha Yoga		"Bernard, Theos"	Rider & Company - London	1970	0 09 030121 8	Technology	Medical Sciences	610	BER		613	BER					
12961	Collectors Glossary of Antiques and Fine Arts		"Bernasconi, J R"	The Estates Gazette Ltd	1959		The Arts	Drwaing & Decorative Arts	740	BER		745.1	BER					
10484	Games People Play	The Psychology of Human Relationships	"Berne, Eric"	Penguin Books	1972	14 002768 8	Philosophy	General Psychology	150	BER		158	BER					
15912	"Romance of Tristan & The Tale of Tristan's Madness, The"	translated by Alan Fredick	Beroul	Penguin	1970				841	BER		841	BER					
12603	Herbert Read		"Berry, Francis"	Longmans - Green & Co.	1953		Biography	Herbert Read	REA	FRA		828	BER					
15743	Donatello	An Art Guide	"Bertela, G Gaeta"	Becocci Editore					750	DON		759.5	DON					
15705	"Luca, Andrea, Giovanni Della Robbia"		"Bertela, G Gaeta"	Becocci Editore					750	ROB		730	BER					
15763	Florence	The City and its Art	"Berti, Luciano"	Saverio Becocci	1979				945	FLO		709	BER					
12443	Marie Bonaparte	A Life	"Bertin, Celia"	Quartet	1983	0 7043 0053 2	Biography	Marie Bonaparte	BON	Ber		921	BON	BER				
12746	Drawings By Botticelli		"Bertini, Aldo"	Dover Publications	1968		The Arts	Drawing & Decorative Arts - Drawing	741	BER		741	BER					
12696	Michelangelo		"Bertram, Anthony"	Dutton Vista	1964		The Arts	The Arts	700	BER		759.5	BER					
16340	Blake		"Bertram, Anthony"	The Studio Publications	1948				750	BLA		769	BER					
11891	Delacroix		"Bertram, Anthony"	The Studio Publications - London	1950		The Arts	Painting - Other Subjects; Collections	758	BER		759.4	BER					
13071	Karma	Theosophical Manual No. IV	"Besant, Annie"	The Theosophical Publishing House	1972	7229 7035 8	Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BES		133	BES					
13072	Man and His Bodies	Theosophical Manual No. VII	"Besant, Annie"	The Theosophical Publishing House	1971	7229 7083 8	Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BES		133	BES					
13069	Seven Principles of Man	Theosophical manual No. 1	"Besant, Annie"	The Theosophical Publishing House	1972	7229 7321 7	Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BES		133	BES					
10742	Thought Forms		"Besant, Annie & Leadbeater, C W"	The Theosophical Publishing House - Madras	1941		Philosophy	Branches of Psychology - Occult Sciences	133	BES		133	BES					
15751	Stockholm		"Beskow, Hans et al"	Allhems Forlag Malmo	1967				948	STO		948	BES					
11276	"Maori School of Learning, The"	Its Objects - Methods and Ceremonial	"Best, Elsdon"	Dominion Museum - New Zealand	1959		Social Sciences	Customs & Folklore	390	BES		299	BES		******			
11274	Some Aspects of Maori Myth and Religion		"Best, Elsdon"	Dominion Museum - New Zealand	1973		Social Sciences	Customs & Folklore	390	BES		299	BES		******			
11275	Spiritual and Mental Concepts of the Maori		"Best, Elsdon"	Dominion Museum - New Zealand	1973		Social Sciences	Customs & Folklore	390	BES		299	BES		******			
13118	Write Your Own Will		"Best, Keith"	Paperfonts	1992	0 7160 0803 3	Social Sciences	Law - Private Law	346	BES					remove			
15074	Men Against Women	A Study of Sexual Relations	"Besterman, Theodore"	Methuen & Co	1934				301	BES		305.3	BES					
10613	India in Hungarian Learning and Literature		"Bethlenfalvy, Geza"	Munshiram Manoharlal - New Delhi	1980		Literature	Other Literatures - Other Indo-European	891	BET		894	BET					
12801	"Pictorial History of English Architecture, A"		"Betjeman, John"	Penguin	1974	0 14 00.3824 8	The Arts	Architecture	720	BET		720	BET					
13802	Collected Poems	compiled and with an introduction by the Earl of Birkenhead	"Betjeman, John"	John Murray	1979	0-7195-3632-4			821	BET		821	BET					
14559	Collected Poems	compiled with an introduction by Lord Birkenhead	"Betjeman, John"	John Murray	1958				821	BET		821	BET					
10663	"Later Christian Fathers, The"	A Selection from the Writings of the Fathers from St Cyril of Jerusalem to St Leo the Great	"Bettenson, Henry (Trans)"	Oxford University Press	1974	0 19 283012 0	Religion	Religion - Philosophy & Theories	201	BET		230	BET					
15549	"Early Christian Fathers, The"	A selection from the writings of the Fathers from St Clement of Rome to St Athanasius	"Bettenson, Henry (Trans)"	Oxford University Press	1969	0-19-283009-0			270	BET		230	BET					
10236	"Art of Scientific Investigation, The"		"Beveridge, W I B"	Mercury Books - London	1964		Pure Science	Pure Science - Philosophy & Theory	501	BEV		501	BEV					
11150	"Light at the Center, The"	Context and Pretext of Modern Mysticism	"Bharati, Agehananda (Swami)"	Ross-Erikson - Santa Barbara	1976	0-915520-04-4	Religion	Devotional & Practical - Meditations & Contemplations	214.2	BHA		149	BHA					
10823	"Ochre Robe, The"		"Bharati, Agehananda (Swami)"	George Allen & Unwin Ltd. - London	1961		Religion	Other Religions - Brahmanism & Related	294.5	BHA		921	BHA	BHA				
15642	Thirukkural	with English couplets	"Bharati, Yogi Shuddhananda"	South India Saiva Siddhanta Works	1982				891	BHA		894	BHA					
15081	"Question of Faith, The"		"Bharucha, Rustom"	Orient Longman	1993	0-86311-392-3			291	BHA		291	BHA					
11564	Dimensions of Classical Sufi Thought		"Bhatnagar, R S"	Motilal Banarsidass - Delhi	1984	0-89581-649-0	Religion	Other Religions - Islam & Bahaism	297	BHA		297	BHA					
14135	Forty Poems		"Bhatnagar, Mahendra"	S. Chanda & Co	1967				891	BHA		891.1	BHA					
12179	He Who Rides a Tiger		"Bhattacharya, Bhabani"	Crown Publishers Inc. - New York	1954		Literature	Other Literatures - Far Eastern Literature	895	BHA		891.1	BHA					
13442	"Comparative Study of the Indian Science of Thought From the Jaina Standpoint, A"		"Bhattacharyya, H"	Devendra - Madras	1925				294.4	BHA		294.4	BHA					
13443	Divinity in Jainism		"Bhattacharyya, H"	Devendra - Madras	1925				294.4	BHA		294.4	BHA					
10836	History of Sakta Religion		"Bhattacharyya, Narendra Nath"	Munshiram Manoharlal Publishers - New Delhi	1974		Religion	Other Religions - Brahmanism & Related	294	BHA		294.5	BHA					
10707	Gem Therapy		"Bhattacharyya, Benoytosh"	Firma K. L. Mukhopadhyay - Calcutta	1958		Technology	Medical Sciences	610	BHA		615	BHA					
16581	Spanish Painting		"Bicchi, Ugo"	Paul Hamlyn	1963				750	UGO		759.6	BIC					
10481	Integration of Religion and Psychiatry		"Biddle, W Earl"	Collier Books - New York	1962		Philosophy	General Psychology	150	BID		616	BID					
15268	"Past Is Myself, The"		"Bielenberg, Christabel"	Corgi Books	1970				920	BIE		921	BIE	BIE				
15407	"Moon, The"	Our Neighbouring World	"Binder, Otto"	Golden Press	1959				520	BIN		520	BIN					
	"Endless Quiet Valley, An"	A reappraisal of John Masefield	"Binding, Paul"	Logaston Press	1998	0-873827-35 0						821.9	BIN					
15669	"Complete Graphic Works Of William Blake, The"		"Bindman, David"	G. P. Putnam's Sons	1978				750	BLA		769	BIN					
11968	Tudor England		"Bindoff, S T"	Penguin Books	1961		History	Europe - England	942	BIN		942.05	BIN					
12788	Painting in the Far East	An Introduction to the History of Pictorial Art in Asia Especially in China and Japan	"Binyon, Lawrence"	Dover Publications			The Arts	Painting & Paintings	750	BIN		759.9	BIN					
15594	"Liberation of Life, The"	from the cell to the community	"Birch, Charles & Cobb, John B (Jr)"	Environmental Ethics Books	1990	0-9626807-0-2			199	BIR		301	BIR					
14051	Anthology of Chinese Literature		"Birch, Cyril (Ed)"	Penguin	1967				895.1	BIR		895	BIR					
15776	Seeing New Zealand	An Illustrated Travel Guide	"Bircham, Deric"	A. H. & A. W. Reed	1974	0-598-00688-6			993	NEW		919	BIR					
16081	"Gutenberg Elegies, The"	The Fate of Reading in an Electronic Age	"Birkerts, Sven"	Faber & Faber	1996	0-571-19045-6			301	BIR		28	BIR					
m14340	Discovering Birmingham	An introduction to the city	Birmingham Picture Library	BPL	1996	0 9523179 1 5			914	BIR		914.2	BIR					
15410	Irishmen All		"Birmingham, G A "	T. N. Foulis	1914				824	BIR		824	BIR					
14863	Chinese Thought		"Bishop, Donald H (Ed)"	Motilal Banarsidass	1985	81-28-1139-9			109	BIS		109	BIS					
15569	Objections to Humanism		"Blackham, H J (Ed)"	Constable and Co	1963				201	BLA		171.2	BLA					
13391	Graceful Exits	"How Great Beings Die:  Death Stories of Tibetan, Hindu & Zen Masters"	"Blackman, Sushila (Ed)"	Weatherhill	1997	0-8348-0391-7			291	BLA					Dharma library?			
16091	Form & Value In Modern Poetry		"Blackmur, R P"	Doubleday & Co	1957				809	BLA		809.1	BLA					
14636	"Prisoner in Fairyland, A"		"Blackwood, Algernon"	Macmillan & Co Ltd	1922				823	BLA		823	BLA					
15285	"Tyranny of Distance, The"	How Distance Shaped Australia's History	"Blainey, Geoffrey"	Sun Books	1966				994	BLA		994	BLA					
16096	William Blake's Water Colours Illustrating the Poems of Thomas Grey	with an introduction and commentary by Geoffrey Keynes	"Blake, William"	J. Philip O'Hara	1972	0-87955-600-5			758	BLA		741	BLA					
M15936	America : A Prophecy & Europe : A Prophecy	Facsimile Reproductions	"Blake, William"	Dover Publications Inc	1983	0-486-245448-9			821	BLA		821	BLA					
13757	Blake:  The Complete Poems	edited by W. H. Stevenson	"Blake, William"	Longman Group	1971	0 582 48459			821	BLA		821	BLA					
12816	Milton		"Blake, William"	Shambala/Random House	1978	0 394 73630 3	Literature	English Literature - English Poetry	821	BLA		821	BLA					
13746	Poetical Sketches	edited and prefaced by Richard Herne Shepherd	"Blake, William"	Basil Montagu Pickering	1868				821	BLA		821	BLA					
15792	Poetical Sketches		"Blake, William"	Percy Lund Humphries * Co	1926				821	BLA		821	BLA					
13744	Songs of Innocence	Colour Facsimile of the First Edition with 31 Color Plates	"Blake, William"	Dover Publications	1971				821	BLA		821	BLA					
13747	Songs of Innocence and Experience	with other poems	"Blake, William"	Basil Montagu Pickering	1866				821	BLA		821	BLA					
13889	Songs of Innocence and Experience	Showing the Two Contrary States of the Human Soul with an introduction and commentary by Sir Geoffrey Keynes	"Blake, William"	Oxford University Press	1970				821	BLA		821	BLA					
15788	Tiriel	Facsimile and the Transcript of the Manuscript and a commentary by G. E. Bentley - Jr	"Blake, William"	Oxford at the Clarendon Press	1967				821	BLA		821	BLA					
	"Book of Urizen, The"		"Blake, William "	Thames and Hudson	1979	0 500 271496						821	BLA					
	Complete Writings	with Variant Readings	"Blake, William "	Oxford University Press	1985	0-19-281050-2						821.7	BLA					
14959	"Gaze of Orpheus, The"	and other litarery essays	"Blanchot, Maurice"	Station Hill Press	1981	0-930794-38-9			844	BLA		844	BLA					
12148	How Insects Live		"Blaney, Walter M"	Phaidon Press Ltd. - Oxford	1976	0 7290 0020 6	Pure Science	Zoological Sciences	590	BLA		590	BLA					
13074	"Abridgement of the Secret Doctrine, An"		"Blavatsky, H P"	The Theosophical Publishing House	1966		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA		theosophy 133 0r 299			
13075	"Abridgement of the Secret Doctrine, An"		"Blavatsky, H P"	The Theosophical Publishing House	1968		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
10677	Dynamics of the Psychic World		"Blavatsky, H P"	The Theosophical Publishing House - Ill - USA	1972	0-8356-0429-2	Philosophy	Branches of Psychology - Occult Sciences	133	BLA		299	BLA					
13084	Isis Unveiled	A Master-key to the Mysteries of Ancient and Modern Science and Theology Vol. I - Science	"Blavatsky, H P"	Theosophical University Press	1960		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13085	Isis Unveiled	A Master-key to the Mysteries of Ancient and Modern Science and Theology Vol. II - Theology	"Blavatsky, H P"	Theosophical University Press	1960		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13087	"Key to Theosophy, The"		"Blavatsky, H P"	The Theosophy Company (India)	1987		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13088	"Key to Theosophy, The"		"Blavatsky, H P"	The Theosophical Publishing House	1920		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13412	"Key to Theosophy, The"		"Blavatsky, H P"	Theosophy Company India	1997	none			133	BLA		299	BLA					
M13086	"Key to Theosophy, The"		"Blavatsky, H P"	The Theosophy Company (India)	1948		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13089	"Secret Doctrine, The"	The Synthesis of Science - Religion and Philosophy  Volume 5	"Blavatsky, H P"	The Theosophical Publishing House	1938		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13090	"Secret Doctrine, The"	The Synthesis of Science - Religion and Philosophy  Volume 6	"Blavatsky, H P"	The Theosophical Publishing House	1938		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13091	"Secret Doctrine, The"	The Synthesis of Science - Religion and Philosophy  Volume 1	"Blavatsky, H P"	The Theosophical Publishing House	1938		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13092	"Secret Doctrine, The"	The Synthesis of Science - Religion and Philosophy  Volume 2	"Blavatsky, H P"	The Theosophical Publishing House	1938		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13093	"Secret Doctrine, The"	The Synthesis of Science - Religion and Philosophy  Volume 3	"Blavatsky, H P"	The Theosophical Publishing House	1938		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13094	"Secret Doctrine, The"	The Synthesis of Science - Religion and Philosophy  Volume 4	"Blavatsky, H P"	The Theosophical Publishing House	1938		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13051	"Stanzas of Dzyan, The"		"Blavatsky, H P"	The Theosophical Publishing Society	1908		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
13546	"Voice of the Silence, The"		"Blavatsky, H P"	Theosophical Publising House	1953				133	BLA		299	BLA					
M13076	"Voice of the Silence, The"	Being Chosen fragments from the Book of the Golden Precepts for the Daily use of Lanoos (Disciples)	"Blavatsky, H P"	Theosophy Company (India)	1984		Philosophy	Paranormal Phenomena - Parapsychology & Occultism	133	BLA		299	BLA					
14930	Christopher Smart as a Poet of His Time	A Re-Appraisal	"Blaydes, Sophia B"	Mouton & Co	1966				824	SMA		821.09	BLA					
10593	Immortal Sacrifice	"A Study,  in the Cause of Christian Unity , of the Relation Between the Sacrifice of Christ and the Holy Communion Service"	"Blenkin, Hugh"	Darton - Longman & Todd - London	1964		Religion	Christian Church - Ritual & Liturgy	216.4	BLE		238			****			
14516	Tooting Corner		"Bligh, Eric"	Secker & Warburg	1946				920	BLI		921	BLI	BLI				
15554	Tooting Corner		"Bligh, Eric"	Secker & Warburg	1946				920	BLI		921	BLI	BLI				
15779	Out Of Africa		"Blixen, Karen"	Century Publishing	1985	0-7126-10162			967	BLI		967	BLI					
10538	"Miracle Nutrient Coenzyme Q10, The"	Give Your Body an Energy Boost	"Bliznakov, E G & Hunt, G L"	Thorsons Publishing Group	1988	0-7225-1715-7	Technology	Medical Sciences	610	BLI		615	BLI					
10706	Gems	The British Lapidary Magazine January/February 1973	BLM	The British Lapidary Magazine	1973		General Works	General Periodicals - English Periodicals	549	GEM		551	BLM					
10774	"Book of Change, The"		"Blofeld, John"	George Allen & Unwin Ltd. - London	1968	04 181001 5	Philosophy	Ancient & Medieval - Oriental Philosophy	181	BLO		299	BLO					
10775	"Book of Change, The"		"Blofeld, John"	George Allen & Unwin Ltd. - London	1968	04 181001 5	Philosophy	Ancient & Medieval - Oriental Philosophy	181	BLO		299	BLO					
12580	"Secret and Sublime, The"	Taoist Mysteries and Magic	"Blofeld, John"	George Allen & Unwin	1973	0 04 181020 1	Religion	Other Religions - Other	299	BLO		299	BLO					
15845	"Closing of the American Mind, The"	How Higher Education has failed Democracy and Impoverished the Souls of Today's Students	"Bloom, Allan"	Simon & Schuster	1987	0-671-47990-3			191	BLO		378	BLO					
14217	"Closing of the American Mind, The"	How Higher Education has failed democracy and mpoverished the souls of today's students	"Bloom, Allan"	Penguin	1988				378	BLO		378	BLO					
14221	"Closing of the American Mind, The"	How higher education has failed democracy and impoverished the souls of today' students	"Bloom, Allan"	Simon & Schuster	1987	0-671-65715-1			378	BLO		378	BLO					
15601	"American Religion, The"	The Emergence of the Post-Christian Nation	"Bloom, Harold"	Touchstone / Simon & Schuster	1992	0-671-86737-7			201	BLO		291	BLO					
13399	Omens of Millenium	"The Gnosis of Angels, Dreams and Resurrections"	"Bloom, Harold"	Fourth Estate - London	1996	1-85702-555-5			291	BLO		291	BLO					
14876	"Book of J, The"		"Bloom, Harold"	Faber & Faber	1991	0-571-16111-1			296	BLO		222	BLO					
14455	"Western Canon, The"	The books and school of the ages	"Bloom, Harold"	Riverhead Books	1994	1-57322-514-2			800	BLO		809	BLO					
14993	"Western Canon, The"	The Books and Schools of the Ages	"Bloom, Harold"	Papermac	1995	0-333-63952-9			809	BLO		809	BLO					
15631	"Western Canon, The"	The Books and Schools of the Ages	"Bloom, Harold"	Harcourt Brace & Co	1994	0-15-195747-9			809	BLO		809	BLO					
13890	Blake's Apocalypse	A Study in Poetic Argument	"Bloom, Harold"	Cornell University Press	1970				824	BLA		821.09	BLO					
14404	"Anxiety of Influence, The"	A theory of poetry	"Bloom, Harold"	Oxford Universioty Press	1997	0-19-511221-0			824	BLO		821.09	BLO					
15878	"Visionary Company, The"	A Reading of English Romantic Poetry	"Bloom, Harold"	Doubleday & Co Inc	1961				824	BLO		821.09	BLO					
14811	Shakespeare	The invention of the human	"Bloom, Harold"	Fourth Estate	1999	1-84115-047-9			824	SHA		822.3	BLO					
16395	Till I End My Song	A Gathering of Last Poems	"Bloom, Harold"	HarperCollins	2010	978-0-06-192305-			821	BLO		821.08	BLO					
15247	Tm  :  How Meditation Can Reduce Stress		"Bloomfield, Harold H"	Unwin Paperbacks	1976	0-04-149037-1			298	TM		158	BLO					
12257	Marijuana		"Bloomquist, E R"	Glencoe Press - Beverly Hills	1968		Pure Science	Botanical Sciences	580	BLO		613	BLO					
15884	Shelley's Mythmaking		"Bloom, Harold"	Cornell University Press	1959				824	SHE		821.09	BLO					
10503	Life World Library - Eastern Europe	Czechoslovakia - Hungary - Poland	"Blunden, Godfrey"	Time-Life International (Nederland) N.V.	1966		General Works	General Periodicals	50	BLU		900	BLU					
12465	Shelley	A Life Story	"Blunden, Edmund"	Collins	1948		Biography	Percy Bysshe Shelley	SHE	BLU		921	SHE	BLU				
