Book_No,Title,Sub_Title,Author,Publisher,Year_This_Ed,ISBN,Subject,Topic,Class_1,Class_2,Class_3,Translator,Year_1st_Pub,Synopsis,Medium
16066,THE INKLINGS,C.S.Lewis - J.R.R.Tolkein - Charles Williams and their friends,Carpenter - Humphrey,HarperCollins,1997,0-261-10347-4,,,824,CAR,,,,,
10113,PROBLEM OF TRUTH ~ THE,,CARR - H. WILDON,T. C. & E. C. Jack - London,,,Philosophy,Philosophical Topics - Other Philosophical Topics,149,CAR,,,,,
11895,WHAT IS HISTORY?,,CARR- E. H.,Penguin Books,1977,0 1402 0652 3,History,History - Essays & Lectures,904,CAR,,,,,
14235,COMPANION ENCYCLOPEDIA OF ASIAN PHILOSOPHY,,Carr - Brian & Indira Mahalingam (eds.),Routledge,1997,0-415-03535-X,,,103,CAR,,,,,
15298,WHAT IS HISTORY ?,,Carr - E. H.,Penguin / Pelican,1964,,,,900,CAR,,,,,
15297,WHAT IS HISTORY?,,Carr - E. H.,Penguin / Pelican,1964,,,,900,CAR,,,,,
14412,THE LONELY HUNTER,A Biography of Carson McCullers,Carr - Virginia Spencer,Carroll & Graf,1975,0-88184-123-4,,,920,MCC,,,,,
12348,Rudyard Kipling,His Life and Work,Carrington - Charles,Penguin,1986,0 14 058028 X,Biography,Rudyard Kipling,KIP,Car,,,,,
15021,THE CATEGORY OF THE PERSON,Anthropology - philosophy - history,Carrithers - Michael et al,Cambridge University Press,1985,0-521-27757-4,,,149,CAR,,,,,
15950,ALICE'S ADVENTURES IN WONDERLAND and THROUGH THE LOOKING-GLASS,,Carroll - Lewis,Penguin,1998,,,,823,CAR,,,,,
14525,THE BIBLE,Authorized King Janes version with Apocrypha,Carroll - Robert & Stephen Prickett (eds.),Oxford University Press,1997,0-19-283099-6,,,220,BIB,,,,,
11833,FINITE AND INFINITE GAMES,A Vision of Life as Play and Possibility,CARSE - JAMES P.,Macmillan Inc. - New York,1986,0-02-905980-1,Philosophy,Metaphysics,110,CAR,,,,,
12147,SEA AROUND US ~ THE,,CARSON - RACHEL,Collins - London,1959,,Pure Science,Zoological Sciences,590,CAR,,,,,
12965,UNDER THE SEA-WIND,A Naturalists Pictue of Ocean Life,CARSON - RACHEL L.,Staples Press Ltd,1952,,Natural Sciences,Natural History,508,CAR,,,,,
15468,THE SEA AROUND US,,Carson - Rachel,Oxford University Press,1951,,,,550,CAR,,,,,
13223,SAVAGE PILGRIMAGE ~ THE,A Narrative of D. H. Lawrence,CARSWELL - CATHERINE,Secker and Warburg,1951,,Biography,D. H. Lawrence,LAW,CAR,,,,,
12439,Tranquil Heart ~The,Portrait of Giovanni Boccaccio,Carswell - Catherine,Lawrence & Wishart,1937,,Biography,Giovanni Boccaccio,BOC,Car,,,,,
11786,MORAL DISCOURSES OF EPICTETUS,,CARTER - ELIZABETH (TRANS),J. M. Dent - London,1926,,Philosophy,Ancient & Medieval - Stoic Philosophy,188,CAR,,,,,
12969,MEMOIR OF THE BOBOTES,,CARY - JOYCE,Readers Union,1965,,Autobiography,Joyce Carey,CAR,CAR,,,,,
11738,MARCUS AVRELIUS ANTONINUS THE ROMAN EMPEROUR - HIS MEDITATIONS CONCERNING HIMSELFE: TREATING OF A NATURALL,Mans Happinesse; Wherein it Consisteth - and of the Meanes to Attaine unto it,CASAUBON - MERIC (TRANS),J. M. Dent & Co. - London,1900,,Literature,Latin Literature - Latin Miscellany,878,CAS,,,,,
15207,THE BOOK OF TOKENS,Tarot Meditations,Case - Paul Foster,Builders of the Adytum,1968,,,,298,CAS,,,,,
14837,THE KINGFISHER'S WING,,Casey - Mary,Rugby & Lewis Publishing,1987,1-869887-31-X,,,184,PLO,,,,,
13323,LAURENCE STERNE,The Later Years,CASH - ARTHUR H.,Routledge,1986,415080320,Biography,Laurence Sterne,STER,CAS,,,,,
